ID,att_0,att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,NewRating
63,,,,,,,,,,,,,,,0.0
65,,,,,,,,,,,,,,,0.0
1702,,,,,,,,,,,,,,,0.0
69,,,,,,,,,,,,,,,0.0
290,,,,,,,,,,,,,,,0.0
291,,,,,,,,,,,,,,,0.0
292,,,,,,,,,,,,,,,0.0
172,,,,,,,,,,,,,0.7,,1.0
293,,,,,,,,,,,,,,,0.0
296,,,,,,,,,,,,,,,0.0
176,,,,,,,,,,,,,,,1.0
1712,,,,,,,,,,,,,,,0.0
1711,,,,,,,,,,,,,,,0.0
1710,,,,,,,,,,,,,,,0.0
1719,,,,,,,,,,,,0.0,,,0.0
71,,,,0.0,,1.0,1.0,,1.0,,,1.0,0.75,,1.0
1717,,,,,,,,,,,,,,,0.0
1716,,,,,,,,,,,,,,,0.0
1715,,,,,,,,,,,,,,,1.0
1714,,,,,,,,,,,,,,,0.0
1713,,,,,,,,,,,,,,,0.0
78,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,0.0
180,,,,,,,,,,,,,,,0.0
184,,,,,,,,,,,,,,,0.0
186,,,,,,,,,,,,,,,0.0
